Form	Hyphenation
bertolak	ber➊to➋lak
bertugas	ber➊tu➋gas
bertujuan	ber➊tu➋ju➊an
berubah	ber➊ubah
berulang	ber➊ul➋ang
berumur	ber➊u➋mur
berunding	be➊run➋ding
berupa	be➊ru➋pa
berupaya	ber➊upa➋ya
berusaha	ber➊usa➋ha
berusia	ber➊u➋sia
berwarna	ber➊war➋na
berwenang	ber➊we➋nang
besar	be➊sar
besaran	be➋sar➊an
besarnya	be➋sar➊nya
besi	be➊si
betapa	be➊ta➊pa
betul	be➊tul
biasa	bi➊a➊sa
biasanya	bi➋a➋sa➊nya
biaya	bi➊a➊ya
bicara	bi➊ca➊ra
bidang	bi➊dang
biksu	bik➊su
bila	bi➊la
bilang	bi➊lang
bilateral	bi➊la➊te➊ral
binatang	bi➊na➊tang
bintang	bin➊tang
biru	bi➊ru
bisa	bi➊sa
bisnis	bis➊nis
bius	bi➊us
blokade	blo➊ka➊de
bola	bo➊la
boleh	bo➊leh
brutal	bru➊tal
buah	bu➊ah
buat	bu➊at
buatan	bu➋at➊an
budaya	bu➊da➊ya
budiman	bu➊di➊man
bukan	bu➊kan
bukanlah	bukan➊lah
bukti	buk➊ti
buku	bu➊ku
bulan	bu➊lan
bumi	bu➊mi
bunga	bu➊nga
bunuh	bu➊nuh
bursa	bur➊sa
buruh	bu➊ruh
buruk	bu➊ruk
burung	bu➊rung
butuh	bu➊tuh
cabang	ca➊bang
cadangan	cadang➊an
cahaya	ca➊ha➊ya
calon	ca➊lon
campur	cam➊pur
cara	ca➊ra
catatan	ca➋tat➊an
cedera	ce➊de➊ra
cemas	ce➊mas
cenderung	cen➊de➊rung
cepat	ce➊pat
cerita	ce➊ri➊ta
champions	cham➊pi➊ons
cinta	cin➊ta
cita	ci➊ta
citra	ci➊tra
city	ci➊ty
coba	co➊ba
contoh	con➊toh
cuaca	cu➊a➊ca
cukup	cu➊kup
cuma	cu➊ma
daerah	da➊e➊rah
daftar	daf➊tar
dagang	da➊gang
daging	da➊ging
dahulu	da➊hu➊lu
dakwaan	da➋kwa➊an
dalam	da➊lam
dalamnya	da➋lam➊nya
damai	da➊mai
dampak	dam➊pak
dampaknya	dam➋pak➊nya
dana	da➊na
dapat	da➊pat
darah	da➊rah
darat	da➊rat
dari	da➊ri
daripada	da➊ri➊pa➊da
darurat	da➊ru➊rat
dasar	da➊sar
dasarnya	da➋sar➊nya
data	da➊ta
datang	da➊tang
daya	da➊ya
debat	de➊bat
defisit	de➊fi➊sit
dekade	de➊ka➊de
dekat	de➊kat
deklarasi	de➊kla➊ra➊si
delapan	de➊la➊pan
delegasi	de➊le➊ga➊si
demi	de➊mi
demikian	de➊mi➊ki➊an
demokrasi	de➊mo➊kra➊si
demokrat	de➊mo➊krat
demokratis	de➊mo➊kra➊tis
demonstran	de➊mon➊stran
demonstrasi	de➊mon➊stra➊si
dendam	den➊dam
dengan	de➊ngan
depan	de➊pan
departemen	de➊par➊te➊men
derajat	de➊ra➊jat
