Form	Pronunciation

# SPDX-License-Identifier: Unicode-DFS-2016

a	a
a-lelaki	aləlaki
a-one	aonə
a-satu	asatu
aa	ee
aabar	aabar
aad	eedi
aadk	eedike
aaj	aad͡ʒ
aaja	aad͡ʒa
aam	eeem
aamir	ame
aank	aənʔ
aao	aao
aari	aari
aaro	aao
aaron	erən
aati	aati
ab	ebi
aba	aba
abad	abad
abadul	abaduəl
abag	abaɡ
abah	abah
abai	abaj
abak	abaʔ
aban	aban
abang	abeaŋ
abanka	abanka
abaru	abaru
abas	abas
abaskenyit	abaskəɲiət
abb	ab
abby	abi
abc	ebisi
abd	abd
abddul	abduəl
abdf	abdf
abdillah	abdilah
abdng	abdŋ
abdu	abdu
abdubrani	abdubrani
abdul	abdul
abdul-rahman	abdulrahman
abdulah	abdulah
abdulhan	abdulhan
abdull	abdul
abdullah	abdulah
abdur	abdur
abdut	abduət
abek	abeʔ
abel	abəl
abela	abələ
abell	abel
abepilih	abəpiliəh
abf	ebief
abg	ebid͡ʒi
abhisit	abhizit
abi	abi
abidah	abidah
abidin	abidin
abil	abel
ability	ebiliti
abim	ebiajem
abin	abiən
abing	abiəŋ
abis	abiəs
abit	ebit
abizai	abizaj
abk	abʔ
able	ebəl
abm	ebiem
abo	abo
aboi	aboj
abok	abuəʔ
abol	abol
abomacpsks	abomat͡ʃpsʔs
abon	abon
abong	aboŋ
abot	abot
above	əbəv
abraham	abraham
abs	ebies
absah	absah
absolutecoolevent	absolutət͡ʃoolevənt
abstark	abstak
abu	abu
abudllah	abudllah
abudullah	abuduəllah
abuh	abuəh
abuk	abuəʔ
abun	abuən
abunawas	abunawas
abung	abuəŋ
aburaya	aburaja
acacia	əkeʃə
academia	akadəmja
academic	ekədemik
academy	əkedəmi
acara	at͡ʃarə
acca	esisie
acccis	at͡ʃt͡ʃt͡ʃiəs
acceptance	eʔseptəns
accepts	eʔseps
accessability	at͡ʃt͡ʃəssabilitj
accessable	at͡ʃt͡ʃəssable
accessibility	eʔsesibiləti
accountancy	əkawntənsi
accounting	əkawntiŋ
accouting	at͡ʃt͡ʃoutiəŋ
acda	at͡ʃdaʔ
ace	eis
aceh	at͡ʃeh
acer	at͡ʃe
achai	at͡ʃaj
achan	at͡ʃan
achap	at͡ʃap
achat	at͡ʃat
achau	at͡ʃaw
acher	at͡ʃə
achi	at͡ʃiʔ
achievement	ət͡ʃivmənt
