会見	242905
チーム	242433
権	242433
大勢	241960
専門	241488
演説	240543
関連	240543
はず	239597
系	239125
げ	238652
車	238652
過激派	238180
軍事	237707
空港	236762
ほど	236289
新た	234872
メイ	234399
ろうと	233926
以来	232981
the	232509
電話	232036
戦争	231564
ひとつ	231091
警告	229673
FBI	227783
加	227783
幹部	226838
持	226838
メキシコ	225420
わけ	225420
副	225420
撮影	224947
停止	224947
病院	224947
繰り返し	224475
司法	224475
たい	223530
特に	223057
とも	222112
指名	222112
保護	222112
成功	221639
教授	221167
施設	221167
つけ	220694
獲得	220694
もう	220222
リー	220222
人間	220222
長	220222
チン	219749
犠牲	219749
出身	219749
ワシントン	219276
団	219276
航空	218804
保守	218804
ジョン	217859
意味	217859
制裁	217859
ここ	216914
最初	216914
勝利	216914
ヒラリー	216441
意見	215968
大会	215968
犯	215968
両	215968
高い	215496
先	215496
会議	215023
紙	213606
協議	213133
金	213133
一方	211715
生活	211715
強い	211243
立ち	210770
使用	210297
今月	209825
実際	209825
答え	209825
カ月	209352
度	208407
プー	207462
終	206989
対策	206989
中心	206989
イラン	206517
なぜ	206517
人気	205099
犯罪	204627
バー	204154
どの	203681
局	203681
経験	203681
首脳	203681
外	203209
取り	203209
可能	202736
づ	202264
戦	202264
多数	202264
反応	202264
事態	201791
党首	201791
その後	201318
わっ	201318
危機	201318
拘束	201318
インタビュー	200846
避難	200846
訪問	199428
すべ	198483
別	198483
権利	198010
予想	198010
多い	197538
リ	197065
入	197065
お	196593
ただ	196593
期待	196593
対立	196593
各国	196120
疑惑	196120
からだ	194230
全員	194230
投稿	193285
映像	192812
含む	192812
of	192340
入国	192340
どうか	191867
外相	191394
代表	191394
法案	190922
求める	190449
外国	189977
続ける	189977
医療	189031
規制	189031
名前	189031
たか	188559
フェイス	188559
ブック	188559
気	188559
取	188559
デモ	187614
続く	187614
カ国	187141
同様	186196
ダース	185723
国務	185723
番組	185723
午前	184778
仏	184306
首都	183833
不明	183833
選出	183361
他の	183361
方針	183361
記録	182888
市	182888
存在	182888
南部	182888
編集	182888
変	182415
約束	182415
広	181943
北部	181943
市内	181470
事故	181470
失	181470
ナ	180998
付け	180998
作	180525
死	180525
息子	180525
みんな	180052
各地	179580
仕事	179580
資金	179580
地区	179107
良い	179107
ャ	178635
見通し	178162
人権	178162
新しい	177690
爆弾	177690
移動	177217
原因	177217
言葉	177217
同氏	177217
年前	177217
かなり	176744
強化	176744
総	176744
だから	175799
思い	175799
地	175799
本	175799
イスラエル	174854
午後	174854
始め	174854
大使	174854
文書	174854
与	174854
Trump	174382
一緒	174382
場	174382
日夜	174382
姿	173909
側	172964
部隊	172964
拡大	172491
暴力	172491
連続	172491
式	172019
ブレグジット	171073
US	170601
イン	170601
裁判所	170601
作戦	170601
母親	170601
ソー	170128
質問	170128
被告	170128
ポンド	169656
完全	169183
島	169183
最近	168711
アサド	168238
東部	168238
生まれ	167765
技術	167293
現地	167293
スター	166820
支配	166820
事実	166820
人物	166820
学校	166348
せん	165875
委員長	165875
ロ	165403
週間	165403
集団	165403
目的	165403
解説	164930
頭	164930
エル	164457
もっと	164457
差別	164457
報告書	164457
訪れ	164457
時に	163985
独立	163985
歴史	163985
香港	163512
ほかに	163040
モスル	163040
措置	163040
武装	162567
形	162094
娘	161622
and	161149
アン	161149
医師	161149
宣言	161149
全体	161149
注目	161149
と共に	160677
自身	160677
賞	160677
制度	160677
訴え	160677
当初	160204
乗客	159732
地震	159732
都市	159259
けた	158786
外交	158786
議論	158314
破壊	158314
アレッポ	157841
友人	157841
レ	157369
ばかり	156896
最後	156896
特定	156896
持つ	156424
有権者	156424
加盟	155951
議席	155951
物	155951
位	155478
環境	155006
建物	154533
始	154533
証拠	154533
進	154533
公開	154061
所	154061
中央	153588
投資	153588
カナダ	153115
つつ	153115
知事	153115
法律	153115
利用	153115
国防	152643
対	152643
をめぐる	152170
陣営	152170
イタリア	151698
止め	151698
時代	151698
客	151225
件	151225
健康	151225
本当に	151225
令	151225
ソン	150753
検討	150753
示す	150753
初	150753
討論	150753
票	150753
平和	150753
科学	150280
方法	150280
拒否	149807
エジプト	149335
コーミー	149335
サウジ	149335
ファ	149335
得る	149335
弁護士	149335
サイト	148862
ひとり	148862
評価	148862
命	148862
辞任	148390
しまう	147917
町	147917
調べ	147917
周辺	146972
体	146972
通り	146972
年代	146499
いわゆる	146027
建設	146027
徒	146027
よ	145554
結婚	145554
相手	145554
動き	145554
残	145082
到着	145082
受ける	144609
ミャンマー	143664
五輪	143664
父親	143664
助け	143191
博士	143191
社	142719
集	142719
先月	142719
民間	142719
予備	142246
議長	141774
最終	141774
インド	141301
疑い	141301
治安	141301
特別	141301
表現	141301
維持	140828
観光	140828
区	140828
妻	140828
事業	140828
動画	140828
アル	140356
近い	140356
手続き	140356
乗	140356
発生	140356
ブラジル	139883
住む	139883
上げ	139883
個人	139411
ね	138938
ファン	138938
フロリダ	138938
過激	138938
決定	138938
市長	138466
彼	138466
セル	137993
合	137993
ただし	137520
てく	137520
野党	137520
経営	136575
衝突	136575
アラビア	136103
つもり	136103
向	135630
インターネット	135157
戻	135157
マン	134685
水	134685
大規模	134685
こう	134212
関与	133267
出し	132795
正式	132795
実現	132322
理解	132322
きく	131849
じゃ	131849
る	131849
承認	131849
まったく	131377
会長	131377
出席	131377
犯行	131377
利益	131377
それぞれ	130904
トン	130904
決め	130904
銃撃	130904
上の	130904
上昇	130904
同盟	130904
ガス	130432
一時	130432
人種	130432
for	129959
アジア	129959
いるか	129959
介入	129959
協定	129959
使う	129959
入れ	129959
反論	129959
来	129959
提案	129487
射殺	129014
捜索	129014
サービス	128541
のみ	128541
ベルギー	128541
掲載	128541
展開	128541
標的	128541
センター	128069
一人	127596
次期	127596
自ら	127596
深刻	127596
台湾	127596
内戦	127596
オーストラリア	126651
改革	126651
通常	126651
夫人	126651
データ	126178
ネット	126178
監督	126178
変化	126178
メートル	125706
君	125706
大量	125706
救助	125233
脅威	125233
謝罪	125233
取引	125233
南	125233
用	125233
くる	124761
グループ	124761
ビル	124761
自爆	124761
署名	124761
増え	124761
命令	124761
