Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 965756

Beeroth	8283
Beersheba	33134
bege	3106
begedu	3106
behee	434892
Bel	2070
Bela	12425
belee	2247979
beleiaha	28992
Belsebub	4141
Belshazzar	6212
Belteshazzar	10354
belu	3106
benabena	48666
Benaiah	42453
benebene	556041
beneinei	5177
Benhadad	35205
Benjamin	186382
Beor	11390
Beracah	3106
Berea	6212
Berechiah	10354
Bered	2070
Beriah	11390
Bernice	3106
beryl	4141
Besai	2070
Besor	2070
Beth	123219
Bethany	14496
Bethel	75588
Bethlehem	52808
Bethphage	3106
Bethsaida	7248
Bethuel	9319
Bethzur	2070
Bezai	3106
Bezalel	10354
Bezek	2070
Bezer	5177
biabi	3106
bida	416254
biga	14496
bigabiga	3106
bigibigi	4141
Bigthana	2070
Bigvai	6212
biia	2070
biigi	30028
Bikri	3106
bilaan	24850
bilau	15531
Bildad	5177
bilei	5177
Bilgah	3106
Bilhah	11390
Bilhan	4141
bili	96297
bilibili	2070
Bilshan	2070
Binea	4141
bini	6212
Binnui	8283
Bithynia	2070
blanket	6212
Boaz	44524
bobo	12425
Bocheru	2070
Bochim	2070
bodobodo	73517
bodoina	5177
Bohan	4141
boibana	93191
boiboi	32099
bole	3106
bolebole	62127
boliboli	2070
bolo	7056647
boloagi	40382
boloo	1310890
bongoo	88013
bonobono	3106
bontai	587104
boo	398651
boodi	86978
boolo	101474
bou	2070
bouli	281644
Bozenai	3106
Bozkath	2070
Bozrah	8283
brass	3106
budehede	18638
budu	91120
budubudu	6212
bugubugu	2070
buhi	30028
bui	9319
buibui	9319
buini	278538
Bukki	5177
Bukkiah	2070
bule	60056
bulou	3106
bulubulu	17602
buna	6212
bungubungu	9319
buni	247474
Bunni	3106
buu	82836
buubuu	47631
buulei	61092
Buz	4141
buzzard	2070
Cabul	2070
Caesar	17602
Caesarea	20709
Caiaphas	10354
Cain	22780
Cainan	4141
Calah	2070
Calcol	2070
Caleb	45560
camel	66269
Cana	4141
Canaan	183276
Capernaum	17602
Cappadocia	2070
Carchemish	3106
Carmel	28992
Carmi	8283
carnelian	2070
Casluh	2070
cedar	84907
Cenchreae	2070
Chaldea	3106
Chebar	9319
Chedorlaomer	4141
cheese	2070
Chemosh	8283
Chenaanah	3106
Chenaniah	3106
Chephirah	4141
Cheran	2070
Cherith	3106
Cherub	2070
Chilion	3106
Chimham	3106
Chorazin	2070
Christ	646125
Cilicia	10354
cinnamon	4141
Claudius	3106
Colhozeh	2070
Conaniah	2070
Corinth	9319
Cornelius	12425
Cosam	2070
Cozbi	2070
Crete	14496
Crispus	2070
crow	2070
crystal	4141
cumin	3106
Cush	8283
Cushan	2070
Cushi	2070
Cuth	2070
cymbal	14496
cypress	10354
Cyprus	17602
Cyrene	7248
Cyrus	21744
daa	508409
daabui	25886
daadaa	15531
daadaamee	22780
daagala	6212
daagi	23815
daagia	3106
daagoli	3106
daahaa	12425
daahee	2070
daahi	309602
daahia	48666
daahili	341701
daaholo	2070
daalia	3106
daaligi	1610137
daaligidia	195701
daalinga	19673
daalo	145999
daalunga	88013
daamada	533260
daamaha	128396
daamai	2070
daane	3605465
daangada	4718583
daangia	4141
daawa	54879
daawaa	7248
daawolo	10354
daba	12425
dabadaba	45560
Daberath	3106
dabu	1858647
dabuaahia	235049
dada	24850
dadaagala	26921
dadaahi	41418
dadaahia	9319
dadaahili	77659
dadaaligi	113900
dadaaligidia	2070
dadaalo	2070
dadaia	2070
dadaulia	198807
dadaumada	12425
dadaumaha	24850
dae	615062
daga	8283
dagaao	27957
dagabuli	322027
dagadaga	5177
dagadagabuli	23815
dagadagahi	95262
dagadagahia	2070
dagahi	7248
dagalili	5177
dagaloaha	432821
dagamila	2070
dagatonu	3106
dagi	2508915
dagia	44524
dagidagi	65233
dagidagia	5177
dagidahi	155318
dagidilaangi	7248
dagigoo	6212
dagitedi	69375
Dagon	10354
dagu	1496237
daha	4125265
dahi	2771921
dahia	13460
dahiaga	5177
dahida	3106
dahidaamee	4141
dahidamee	83872
dahu	2070
dahuhu	2070
dai	172921
daiaa	181205
dala	8283
daladala	6212
dalai	11390
daledale	2070
Daleth	4141
dali	9319
dalia	371729
dalinga	64198
dalodalo	503232
dama	3287579
damaa	84907
damagiigi	57985
damana	1414435
damanaiee	192595
Damascus	55914
Dammim	2070
Dan	78694
dana	2760531
dane	14496
dangada	1565612
danggee	155318
dangi	562253
dangidangi	311672
dangidangihia	7248
dangihi	234013
Daniel	72482
danu	225729
danudanu	2070
danumia	11390
Darda	2070
Darius	24850
Darkon	2070
datada	3106
Dathan	11390
dau	2147540
dauaga	8283
