Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 311110

An	51428
àn	54643
anrɛ̀n	4792517
anrīn	720002
Babila	48214
Babiliya	9642
Bafusa	6428
Bagədaza	6428
Balamu	9642
Bamfiliya	16071
bàmkpūn	12857
ban	1356433
bàn	620359
bān	21391147
Banyanmi	12857
bar	25714
bàr	118928
bār	35357
Baraba	38571
bărga	22500
Barnaba	160714
Barniki	12857
Barsaba	6428
Bartimawu	9642
Batara	6428
Batolomi	9642
be	398572
bĕ	54643
bē	360001
bebe	9642
bēkər	6428
bekī	221786
bĕkì	32142
bemkpàn	6428
benəne	6428
bĕntsù	16071
Beriya	32142
beshi	1443219
bēshi	1433576
Betafaji	9642
Betani	45000
Betsɛda	28928
bə	29831892
bə̀	122143
bə̄	20819002
bə̀bè	35357
bə̄bə̀	12857
bə̄bə̀r	19285
bər	607502
bə̀r	28928
bə̆r	22500
bə̄r	6428
Bərayi	440358
Bəsidiya	6428
bə̀telà	41785
bə̄telà	45000
bə̀tesə̄màn	356786
Bətəlami	32142
Bətiniya	6428
bɛ	99643
bɛ̀	241072
bɛ̂	6428
bɛ̄	308572
Bɛzɛbul	25714
Bilatu	237857
Birgama	6428
Bitrusu	890360
bla	48214
blā	205715
brêbrè	6428
brɛ	167143
brɛ̆	38571
brɛ̂	6428
brì	16071
Briskila	25714
bu	575359
bù	25714
bū	308572
bùbù	19285
būbū	125357
bùbwɔ̀	54643
Bulusu	1198932
Buza	12857
bwa	22500
bwà	57857
bwā	57857
bwə̀	77143
bwər	12857
bwɛ̂	9642
bwɔ̄	9642
ca	376072
cà	99643
cā	102857
càn	35357
cān	19285
car	1311433
cazu	22500
cāzu	96428
cāzù	48214
cə̄cā	6428
cər	9642
cə̄r	70714
cɛ	225000
ci	28928
cì	16071
cī	144643
cin	38571
cīn	189643
cinjì	9642
cīnji	131786
cō	6428
cɔ̀	22500
cɔ̄	38571
cu	909646
cū	167143
cucu	192857
cùcùn	167143
cumgbə̀	102857
cun	38571
cùn	12857
cūn	945003
cūngwɔn	1186075
cwe	16071
cwɛ̀	19285
dan	9800392
dàn	2915367
Darbe	22500
dârdār	9642
de	18540066
dè	263572
dē	263572
dèbə̀	32142
dēbə̀	22500
Demɛtru	9642
də̀	33505833
də̄	1510719
də̀gba	48214
də̀gbà	282858
də̄gbā	112500
Dəmu	57857
də̀ntswe	215357
