Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
bubu	16159
Bubu	210076
bubum	24239
Bubum	302994
Bubuma	48479
Bubumge	8079
buɗ	20199
buɗn	20199
buɗu	8079
bukumbɔɔge	8079
bumige	8079
burin̰	12119
burku	12119
buru	24239
buur	20199
buuru	56559
ɓaa	7995022
ɓaaɗ	169677
ɓaaɗa	60598
ɓaaɗɗege	12119
ɓaaɗn	28279
ɓaaɗo	2864310
ɓaaɗoga	193916
ɓaaga	161597
ɓaaki	214116
ɓaakiga	8079
ɓaakiro	125237
ɓaakiroga	24239
ɓaamkiro	8079
ɓaamo	8079
ɓaamsin̰kiro	8079
ɓaan	129277
ɓaan̰	32319
ɓaanɗe	16159
ɓaanɗekiro	12119
ɓaanɗen	28279
ɓaanɗeno	48479
ɓaanje	12119
ɓaanjekiga	8079
ɓaanjekiro	8079
ɓaanki	8079
ɓaan̰ki	16159
ɓaankiro	20199
ɓaano	278755
ɓaan̰o	24239
ɓaanoga	24239
ɓaanseno	8079
ɓaansin̰	177756
ɓaansin̰a	12119
ɓaansin̰ga	20199
ɓaansin̰ki	24239
ɓaansin̰kiro	16159
ɓaansin̰o	24239
ɓaansum	8079
ɓaao	92918
ɓaar	266635
ɓaara	206036
ɓaarge	24239
ɓaarin̰	24239
ɓar	16159
ɓara	12119
ɓea	72718
ɓee	2060364
ɓeeɗe	20199
ɓeeɗege	76758
ɓeege	129277
ɓeegen	8079
ɓeem	24239
ɓeen	56559
ɓeen̰	311074
ɓeen̰a	40399
ɓeene	72718
ɓeer	307034
ɓeerɗeki	12119
ɓeere	282795
ɓeerin̰	24239
ɓeerin̰ki	8079
ɓeerki	141397
ɓeesege	12119
ɓei	60598
ɓɛrɛ	254515
Ɓɛrɛ	254515
ɓii	2209842
ɓiia	16159
ɓiige	88878
ɓiigen	64638
ɓiin	165637
ɓiin̰	36359
ɓiin̰a	8079
ɓo	17690856
ɓoa	12119
ɓoɗe	8079
ɓoog	12119
ɓoogge	60598
ɓooggen	8079
ɓoogki	8079
ɓoogŋ	12119
ɓoogo	113118
ɓoorin̰	16159
ɓooro	88878
Ɓooyki	64638
Ɓooyo	32319
ɓɔkɔl	12119
ɓɔkɔlɔ	16159
ɓɔɔnɔ	24239
ɓɔrse	1850288
ɓɔrsen	12119
ɓɔrt	157557
ɓɔrtɔ	185836
Ɓubm	210076
ɓugɗege	20199
ɓugɗegen	12119
ɓugge	12119
ɓugi	8079
ɓugin̰	12119
ɓugje	12119
ɓugjege	88878
ɓugŋ	24239
ɓugsege	28279
ɓul	121197
ɓulge	92918
Ɓulgen	8079
ɓulin̰	28279
ɓulin̰a	8079
ɓulse	8079
ɓulsege	12119
ɓulu	133317
ɓuluk	48479
ɓulum	8079
caa	16159
caapm	8079
cɛɛ	189876
cɛɛɗe	32319
cɛɛi	8079
cɛɛm	52519
cɛɛn̰	141397
cɛɛp	16159
cɛɛpɛ	32319
cɛɛpm	8079
cɛɛs	125237
cɛɛsɗe	16159
cɛɛsin̰	8079
cɛɛsn	28279
cɛkɛ	16159
cɛkɛɗge	36359
cɛkge	16159
cɛlɛl	8079
cɛŋkɛn̰	8079
cɛr	105038
cɛrɛ	294914
cɛrɛk	8079
cɛy	20199
ci	8079
ciɗiɗ	12119
ciil	16159
ciilin̰	12119
ciilin̰a	8079
cili	399953
cilige	48479
cilin	48479
cir	1038262
cirɗe	48479
cirɗega	24239
cirɗeki	8079
cirga	24239
ciri	80798
cirin̰	32319
cirin̰a	8079
cirin̰ga	8079
cirki	12119
cirkiga	12119
ciro	8079
cirr	20199
cirse	12119
cirum	28279
ciruma	12119
cooɗi	8079
cɔk	40399
cɔkɔ	347434
cɔkɔn	44439
cɔɔc	12119
daa	614069
daab	218156
daabge	44439
daabgen	16159
daabi	8079
daabin̰	8079
daabm	52519
daage	12119
daagen	80798
daal	76758
daala	1070581
daam	92918
daama	64638
daamboogin̰ge	16159
daami	12119
daamin̰	72718
daamki	12119
daamum	48479
daan	1716970
daana	28279
daanɗe	100998
daanin̰	76758
daanin̰a	32319
daanjege	28279
daanse	88878
daanuma	36359
daanumga	8079
daanumki	8079
daar	12119
daara	12119
daay	117157
daaye	36359
daayge	193916
daaygen	24239
daayin̰	16159
daayum	1426095
dabar	282795
dabara	141397
dabarɗe	24239
dabarɗeki	8079
dabarɗeno	8079
dabarɗenoga	8079
dabarga	16159
dabarin̰	36359
dabarje	8079
dabarki	16159
dabarkiga	8079
dabaro	28279
dabaroga	12119
dabarse	40399
dabarum	20199
dabaruma	12119
dagalec	24239
dal	52519
dala	96958
dalul	36359
Damas	80798
danos	8079
daŋ	323194
daŋa	12119
daŋal	32319
daŋɗe	40399
daŋɗeno	28279
daŋgay	375713
daŋgayge	76758
daŋgaygen	8079
daŋi	28279
daŋin̰	129277
daŋin̰ki	8079
daŋin̰o	20199
daŋio	8079
daŋje	8079
daŋjeki	8079
daŋjekiro	16159
daŋo	137357
daŋse	16159
daŋseno	100998
daŋum	16159
daŋumo	12119
daptor	32319
dar	8079
darga	8079
das	8079
Daud	298954
Daudn	8079
dawa	8079
dawage	8079
deb	1001902
deba	282795
Deba	363593
debɗe	8079
debkilim	133317
debkilimi	383793
debm	8067741
debum	12119
deeb	36359
deebɗe	16159
deebin̰	24239
deebm	12119
deebum	8079
deel	965543
deele	80798
deelga	117157
deelin̰	8079
deelo	24239
deep	24239
deepin̰ga	8079
deer	100998
deere	64638
deet	702947
deete	149477
deetn	44439
Demas	12119
Demetrus	16159
Derbe	20199
dɛɛrɛ	16159
dɛɛrge	24239
dɛj	28279
dɛjɗe	44439
dɛjɗen	12119
dɛjɗenga	8079
dɛjɛ	24239
dɛjin̰	8079
dɛjjeki	16159
dɛjn̰	32319
dɛjse	12119
dɛjseno	8079
dɛkɛn̰ɛ	20199
dɛkin̰	8079
dɛl	40399
dɛlbɛ	8079
dɛlga	8079
dɛlin̰	8079
dɛn	864545
dɛna	1373576
dɛnɗe	88878
dɛnge	444392
dɛngen	76758
dɛnin̰	88878
dɛŋ	48479
dɛrɛŋ	64638
dɛrɛŋɗe	8079
dɛrɛŋgɛl	8079
dɛrɛŋgɛlɛ	20199
dɛrɛŋgɛlge	12119
