Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
angáraja	7773
angaráni	50528
angaráño	23320
angará­none	7773
angaránone	260413
angarasórone	19433
angarate	19433
angarátigo	7773
angarátique	27207
angári	46641
angaripísi	19433
ango	89395
Angoba	7773
Angoma	11660
angome	46641
angomome	27207
angoneparicho	11660
angoneparigode	7773
angoneparique	19433
angongara	7773
angongaráma	7773
angoninguinone	19433
angoni­nguite	15547
angoninguite	163244
angoninguitígo	11660
angoño	73848
angoñoma	7773
angoñome	31094
Angoñome	34980
Angoñomome	7773
angopísa	11660
angoroné	19433
Anguíraño	7773
angureni	66075
angurenone	19433
anguresóningo	7773
anguresó­nique	7773
anguresónique	46641
angure­sóño	23320
anguresóño	342035
angu­resõre	11660
angure­sõre	46641
anguresõre	528600
anguresorejmane	7773
anguresṍri	7773
anguresõripísode	15547
angu­resórone	11660
anguresó­rone	46641
angure­sórone	46641
anguresórone	610222
angureta	54414
anguretapise	11660
angure­tasóño	7773
anguretasóño	97169
angure­tasõre	7773
anguretasõre	19433
anguretasṍri	7773
angureta­sórone	7773
anguretasó­rone	19433
angure­tasórone	46641
anguretasórone	388677
angure­táyo	19433
anguretáyo	155470
anguretayopise	11660
anguretáyopise	31094
angure­tayopo	7773
anguretáyorase	7773
anguretíga	7773
anguretigade	42754
anguretigai	198225
angureto	23320
anguretóraque	7773
angúrome	23320
angú­romei	11660
angúromei	81622
angúroméone	50528
aníchoja	7773
anína	7773
anínaño	93282
aninañome	7773
anínañopúsu	7773
Anínañopúsu	15547
ánique	7773
aniri	7773
anóningacho	11660
Antio­quia	7773
Antioquia	128263
Antípas	7773
añucho	7773
añuchopúsu	31094
ao	136036
aode	27207
aoi	202112
aone	77735
Aore	7773
aórigo	7773
aórique	11660
ape	540261
apemeráñoji	11660
apesabu	19433
apesapo	7773
apéso	252640
Apesopúsu	11660
apésu	112716
apesupúsu	7773
apijócho	15547
apocásu	7773
apócho	11660
apochorásu	7773
apógu	19433
Apolion	7773
Apólos	66075
apósode	7773
apota	69961
apotáyo	11660
apótayo	81622
Apotingare	11660
apótique	7773
apúyoja	50528
aquecáyo	11660
aquéraño	23320
aquesu	27207
aqueta	38867
aquetape	31094
aquetápo	7773
aquetásiape	7773
Aquíla	38867
Aquim	7773
aquini­ngai	7773
aquiningai	15547
aquini­ngamei	19433
aquiningamei	116603
aquininga­méone	7773
aquini­ngaméone	7773
aquiningaméone	69961
aquiningamérique	11660
aquiningárique	7773
aquĩ́ra	15547
aquirájna	19433
aquirájnai	7773
aquirájnane	11660
aquirájnanie	27207
aquĩraquéode	11660
ãra	15547
Arábia	11660
aracho	58301
ãrácho	38867
ãrachua	136036
arágajñunie	19433
ãrai	19433
araja	128263
arajape	7773
Arajape	7773
arajapise	7773
arajáyo	637430
arajayope	7773
arajayó­pise	11660
arajayópise	50528
arajayopo	19433
arajayópo	7773
arajayórase	23320
Aram	15547
arame	19433
aramu	19433
aramuráso	7773
arañíñome	15547
aráño	15547
arapatáquechoquíode	7773
áraque	54414
ãraque	31094
ãraracho	15547
ãrarare	19433
arasei	15547
aráso	11660
aratáyiñome	11660
arate	11660
arec	108829
arécho	15547
arecu­jáidie	7773
arecujáidie	66075
arecujate	15547
arégode	163244
areguipise	38867
areguipísi	15547
areguipísode	7773
arei	209885
Areópago	11660
areque	124376
ãretáyo	7773
arétigo	19433
arétiguiji	7773
arétique	15547
Arfaxad	7773
ãri	15547
ãriapo	7773
ãrie	345922
árigo	7773
árigui	46641
ãriji	27207
Ãriji	34980
arijínaño	34980
arijíño	11660
Arimatéa	15547
árime	11660
árimei	7773
árimeraque	7773
Aringácachoqui	7773
aringácachoquí	7773
Aringácachoquí	11660
aringácachoquíode	15547
aringacade	7773
Aringachopo	7773
aringaquéode	19433
áringui	7773
ãrío	15547
arione	15547
arique	23320
ãrírique	62188
Aristárco	19433
aro	38867
ãro	11660
aróbedíe	7773
arocho	15547
arochope	11660
arócojna	66075
arógape	7773
aroque	46641
árpai	15547
Arquípo	11660
arroz	50528
aru	15547
arurécho	27207
aruré­gode	7773
arurégode	190451
arurei	69961
arureque	139923
arurétigo	27207
arurétique	23320
Arúsãrape	38867
arúsãre	15547
aruyo	7773
asa	19433
Asa	19433
Ása	7773
Asasi	7773
asayo	62188
Asayope	50528
asi	89395
Ásia	81622
asíapome	11660
asico	11660
asicoi	19433
asíguedie	31094
asíñome	42754
asíyo	69961
Ason	7773
asõre	7773
asuté	34980
asutedie	50528
asutépisedie	46641
asutéraque	7773
asutérigui	11660
áta	34980
átabaja	7773
atácho	7773
atade	66075
ataguipise	19433
atai	46641
Atália	7773
átapi	19433
ataque	66075
atata	42754
atatago	7773
atatagode	89395
atatai	15547
atatasóningo	23320
atatasónique	42754
atata­sõre	7773
atatasõre	73848
atatasṍri	182678
atata­sórone	15547
atatasó­rone	66075
atatasórone	540261
atatayo	31094
atátique	27207
átayo	93282
atayoi	34980
átayoja	23320
atayóji	11660
átayopo	7773
ate	594675
atedatei	7773
atedie	11660
Aténas	27207
atetai	19433
ati	69961
atíamia	7773
atíãpe	7773
atíãtaque	15547
atíãtique	11660
atígo	186564
atígome	7773
atingara	7773
atique	202112
atĩre	11660
atiredie	7773
atirócho	7773
atõchoi	7773
atodo	31094
atodóyo	62188
atodóyopo	7773
atṍri	7773
atoyoi	11660
Augústo	23320
aya	50528
ayague	66075
ayáji	7773
Ayáji	11660
Ayasa	27207
áyasa	136036
áyasadie	190451
áyasai	77735
áyasarigui	11660
ayáyo	237093
ayáyobu	7773
ayáyoji	38867
Ayáyopo	7773
Ayipie	15547
áyipie	699618
áyi­piedie	7773
áyipie­die	27207
áyipiedie	1033880
áyipiei	19433
ayipierane	15547
ayipieranguipise	7773
ayipierãque	54414
áyipie­raque	19433
áyipieraque	252640
áyipierigui	27207
ayo	7773
ayode	15547
ayoi	11660
ayome	7773
ayoré	2172704
ayoredaté	15547
ayoredatei	27207
ayorédatei	7773
ayoredatéo	7773
ayoredie	46641
ayorei	108829
ayoréo	598562
ayoréo­de	11660
ayoréode	322601
ayorépise	7773
ayorérigo	50528
ayorériguiji	7773
ayoréri­que	11660
ayoré­rique	27207
ayorérique	536374
ayóyo	15547
ayóyoja	7773
ayuguhebátaque	23320
ayuguhebátigade	7773
ayuquetotiguedatéode	7773
Azor	7773
azufre	19433
ba	7773
Baal	7773
babágui	7773
babai	209885
babé	23320
babi	81622
babia	11660
babijnane	11660
babijnani	7773
Babilónia	58301
babo	15547
babode	11660
bacadigode	46641
bacai	7773
bacája	15547
bacajnaqué	7773
bacajna­quéode	11660
bacajnaquéode	73848
bacaniratiguéode	7773
bacaniratiguérique	7773
bacãra	7773
bacate	19433
bacatecãraisṍri	11660
bacatecãraitigade	11660
bacatecã́ri	15547
bacota	11660
bacoté	50528
bacuecaringué	19433
badatéode	7773
bade	50528
badi	7773
bádi	19433
badode	143810
badojnóngaja	7773
bagaidi	11660
Bagaidi	34980
bagaidode	11660
bagatáidie	23320
bagu	7773
bagúcha	11660
bagúchade	19433
bagúcharique	7773
baguidé	19433
baguíjnai	54414
baguíjnarique	15547
bagúsi	11660
bagúsiji	15547
baguté	15547
bai	81622
baja	62188
bajac	34980
bajácho	128263
bajade	754033
bajagája	7773
bajágaja	15547
bajaguipise	11660
bajai	921164
bajáiso	11660
bajaque	555808
bajátique	7773
bajé	116603
bajedie	73848
bajegaidi	19433
bajegáite	7773
bajegaitique	15547
