Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 268095
Atmin	7460
ato	12305339
atokak	3730
atomb	3730
atombe	1268207
atonde	276021
atôônjo	7460
atovu	3730
atu	376732
avaat	14920
avi	167850
avii	7460
aviloos	18650
avind	48490
avindis	7460
avu	41030
awii	287211
awiing	89520
awiingin	115630
ayaal	7460
ayak	11190
Ayêê	3730
ayêênin	3730
ayiis	29840
ayuuh	1398757
baahinin	3730
baahu	3730
baake	33570
baaket	3730
baakôôhin	3730
baaku	156660
baakuu	11190
baale	496092
baalil	11190
baalôôh	14920
baambu	212611
baambum	3730
baambund	119360
baambungg	29840
baambuu	26110
baan	212611
baand	37300
baando	26110
baandong	7460
baandoni	1167496
baandonii	238721
baangg	18650
baanggesak	7460
baanggo	156660
baanjêêng	3730
baasu	7460
baasuh	59680
baat	7460
baate	3730
baayamb	365542
Baayesu	3730
Baayesuu	3730
baayiiy	14920
Babilon	119360
bakaas	130550
bakôôh	3730
Bal	3730
balaah	33570
Balabas	44760
Balak	3730
balem	7460
balet	264831
balolakin	7460
balon	380462
balu	33570
balup	384192
bamaan	317051
bambôôv	100710
bambu	3730
bambusin	3730
Banabas	160390
bandumb	138010
bangguk	63410
banji	3730
banjôôngg	11190
banjum	3730
banye	1040675
banyêê	18650
banyem	18650
banyend	3730
banyengg	33570
bapuuh	82060
Basabas	7460
basap	18650
basi	26110
basii	7460
bati	22380
Batimai	7460
batinin	3730
Batolomai	14920
bavak	11190
bavi	3730
baya	216341
bayaa	3730
bayaalin	14920
baye	3730
bayêên	1641209
bayiiluk	14920
bayiimb	115630
bayum	3730
be	10410488
bêêk	3730
bêêl	44760
Been	3730
bees	14920
beey	7460
bek	11190
bel	1753109
Belak	7460
belalu	3730
Belam	14920
Belekaia	3730
Belia	26110
Beliaa	3730
belil	3730
belipisin	26110
Belsebul	33570
Benaisi	11190
beng	7460
Benyaamin	14920
Betaani	41030
Betaanii	7460
Betesda	7460
Betlehem	33570
Betpaasi	11190
Betpaasii	3730
Betsaida	29840
Betsaidaa	3730
betum	216341
Bey	11190
beyuuh	3730
biing	1674779
biingambe	3730
biiy	3730
bik	425222
biliyak	41030
Bitinia	3730
Bitiniaa	3730
Blastas	3730
bo	52220
Boanesis	3730
Boas	14920
boow	242451
bôôy	2234282
bop	2611014
Bop	2767675
bopaata	1633749
bopaataa	100710
Bosol	3730
boyambôôy	33570
bu	1838900
buayo	18650
bulak	3730
bulôôt	89520
bulotin	3730
bumaavêêh	3730
bumbanjiing	7460
bun	11190
bunaata	3730
bundin	11190
bungg	3730
bus	26110
busango	11190
busin	3651690
businaandiin	11190
Buti	3730
buu	7460
buuk	18650
buv	7460
d	3730
daahen	182771
daahinin	7460
daakêêl	3730
daakôôhin	18650
daakôômb	7460
daaku	26110
daale	425222
daalêê	41030
daalôôh	37300
daambuu	3730
daamunggin	37300
daandiiy	63410
daandun	70870
daanduuh	7460
daanêêl	634103
daanêêlin	11190
daang	3730
daanggiiy	3730
daanggin	3730
daanggo	130550
daanggôôl	331971
daanum	44760
daapêêlis	52220
daapumak	3730
daapup	3730
daapuv	11190
daapuvu	11190
daasevin	11190
daasu	48490
daasuh	22380
daasupin	82060
daate	29840
daatêêlang	3730
daateey	14920
daativak	3730
daatok	7460
daatokak	22380
daatooy	7460
daatovu	126820
daatu	264831
daav	63410
daayiiy	3730
dahaav	44760
dahilin	26110
daholin	3730
dahôôl	3730
dahôôlis	3730
dahôôndak	29840
dahôôpis	26110
dahôôv	7460
dahôôvu	55950
dahulis	29840
Daionisias	3730
