Form	Frequency

# SPDX-License-Identifier: Unicode-DFS-2016
# Corpus-Size: 1030434
Asil	4852
Asir	3881
Asira	37848
Askilon	12616
Askinas	2911
Asmawit	8734
Asmon	1940
Asna	2911
Asnat	2911
Asor	38818
Asos	1940
Aspinas	7763
Asrikam	5822
Asriol	5822
Astarot	6793
Astorit	8734
Asuba	3881
Asur	193122
Aswan	1940
atabpaan	1940
Atad	1940
atagad	1940
atagak	23291
atagakan	41729
Atai	4852
atakapan	1940
atalaban	1940
atalang	23291
Atalia	24261
atalib	15527
atandai	7763
atanggayan	39789
atangkabo	22320
atangkap	16497
atantu	264936
atanud	12616
atanus	33966
atapan	2911
atarang	20379
atarom	60168
Atarot	7763
atataadan	77637
atatagadan	32025
atatangaban	20379
Atina	5822
Atir	4852
Atuk	1940
Atuuk	3881
Atuukoi	5822
Awa	1940
awaga	3881
awagat	101898
awagatan	2911
awang	2911
awangai	1940
awangan	2911
awasiu	9704
awayaan	6793
Awi	1940
Awit	1940
Awon	4852
Aya	4852
ayahan	10675
Ayalon	9704
ayat	24261
ayi	133924
Ayub	86371
Ba	9704
Baal	125189
Baala	6793
Baalat	3881
Baana	11645
baanan	46582
babako	5822
babakon	13586
babasan	1940
Babil	374599
Babilonia	6793
badam	6793
bagal	15527
bagi	119367
bagi'd	20379
bahagi	44641
bahagi'd	1940
Bahurim	5822
baing	1940
baino	768608
baino'dti	7763
Baisa	27173
Bait	111603
Baitani	12616
Baitlahim	51434
Baitol	79578
Baitpagi	2911
Baitsaida	6793
Bakbuk	1940
Bakbukia	2911
bakul	3881
bakung	17468
Baladan	3881
Balak	43670
balanda	1940
balang	5822
balanga	6793
balansa	1940
balatak	39789
Bamot	2911
banang	17468
bandak	1940
bandar	2076794
bangan	32995
banganan	6793
bangkahak	10675
Bani	14556
bansa	916118
bansa'd	466793
bansa'ddi	76666
bansa'dti	15527
bantal	3881
Bara	1940
Barabas	11645
Barak	16497
barakat	139746
barakatai	37848
barakatan	115485
barambang	1940
barang	3881
baras	1940
barasai	4852
barasan	44641
baris	5822
Barkos	1940
barli	57257
Barnabas	41729
Barnia	9704
Barsabas	1940
Barsilai	13586
Bartolomius	3881
Baruk	27173
Basan	50464
basao	15527
basaon	16497
basi	108692
Baslit	1940
Basmat	5822
basug	182447
bat	3881
bata	19409
batos	216413
Batsiba	21350
bawang	182447
Bawang	305696
bawangan	8734
baya	2911
Baya	6793
bayaan	2911
Bayaano	1940
bayaanon	45611
bayang	1940
bayaran	43670
bayayato	1940
bayayaton	2911
berangan	4852
Bidad	1940
bidan	10675
bidang	14556
Bigtan	1940
Bigwai	5822
